,sample,annotation
22551,сыр ко,"[(0, 5, 'B-TYPE')]"
17284,понировачные,"[(0, 12, 'B-TYPE')]"
1833,pulseul,"[(0, 7, 'B-BRAND')]"
19798,сдое ное,"[(0, 7, 'B-TYPE')]"
7030,жидкий корм доя котёнок,"[(0, 6, 'B-TYPE'), (7, 11, 'I-TYPE'), (12, 15, 'O'), (16, 21, 'O')]"
15778,пасх,"[(0, 4, 'B-TYPE')]"
14353,нач осы,"[(0, 6, 'B-TYPE')]"
15862,паэлья,"[(0, 6, 'B-TYPE')]"
14613,нф очки,"[(0, 2, 'B-BRAND'), (3, 7, 'B-TYPE')]"
1472,merletto нуг,"[(0, 8, 'B-BRAND'), (9, 12, 'B-TYPE')]"
18264,разрыхлитель dr bake,"[(0, 12, 'B-TYPE'), (13, 20, 'B-BRAND')]"
3233,бахрушин шпик,"[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE')]"
22629,сыро вялено,"[(0, 10, 'B-TYPE')]"
1026,heen hrpr,"[(0, 4, 'O'), (5, 9, 'O')]"
3559,блиеы,"[(0, 5, 'B-TYPE')]"
7428,зефип,"[(0, 5, 'B-TYPE')]"
1174,kider,"[(0, 5, 'B-BRAND')]"
17244,помижора,"[(0, 8, 'B-TYPE')]"
13938,мюсли marc фис,"[(0, 5, 'B-TYPE'), (6, 14, 'B-BRAND')]"
12293,маринованве,"[(0, 11, 'B-TYPE')]"
6119,грибыо,"[(0, 6, 'B-TYPE')]"
22019,суп,"[(0, 4, 'B-TYPE')]"
21339,соус майонезный,"[(0, 4, 'B-TYPE'), (5, 15, 'I-TYPE')]"
10140,корочка,"[(0, 7, 'B-TYPE')]"
19268,салфетких,"[(0, 9, 'B-TYPE')]"
14585,ну триллион,"[(0, 10, 'B-TYPE')]"
14673,обр икос,"[(0, 7, 'B-TYPE')]"
6287,губка,"[(0, 5, 'B-TYPE')]"
1197,koni,"[(0, 4, 'B-BRAND')]"
7671,икра кабач,"[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE')]"
18367,растяжитепь,"[(0, 11, 'B-TYPE')]"
4577,ввермишель,"[(0, 10, 'B-TYPE')]"
24760,фрутоняня 90 грамм,"[(0, 9, 'B-BRAND'), (10, 12, 'B-VOLUME'), (13, 18, 'O')]"
18862,руче,"[(0, 4, 'B-TYPE')]"
20204,скитлс,"[(0, 6, 'B-BRAND')]"
12311,маринованный lorad,"[(0, 12, 'B-TYPE'), (13, 18, 'B-BRAND')]"
554,cykoria шампанск,"[(0, 7, 'B-BRAND'), (8, 16, 'B-TYPE')]"
25095,хлебни,"[(0, 6, 'B-TYPE')]"
21554,срагетти,"[(0, 8, 'B-TYPE')]"
16457,пивной безалкогольный,"[(0, 6, 'B-TYPE'), (7, 20, 'I-TYPE')]"
12650,махеевъ,"[(0, 7, 'B-BRAND')]"
6187,грует,"[(0, 5, 'B-TYPE')]"
13480,моровь,"[(0, 6, 'B-TYPE')]"
1206,korri плав,"[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE')]"
22213,суш кию,"[(0, 6, 'B-TYPE')]"
10968,куколка,"[(0, 7, 'B-TYPE')]"
23232,твровожный,"[(0, 10, 'B-TYPE')]"
14223,напиткт,"[(0, 7, 'B-TYPE')]"
9844,коп ле,"[(0, 5, 'O')]"
